# IDX Name                                     7Networks            Lobe
    1 Left-Cerebellum-Cortex                   subcortex            subcortex           
    2 Left-Thalamus-Proper                     subcortex            subcortex           
    3 Left-Caudate                             subcortex            subcortex           
    4 Left-Putamen                             subcortex            subcortex           
    5 Left-Pallidum                            subcortex            subcortex           
    6 Left-Hippocampus                         subcortex            subcortex           
    7 Left-Amygdala                            subcortex            subcortex           
    8 Left-Accumbens-area                      subcortex            subcortex           
    9 Left-VentralDC                           subcortex            subcortex           
   10 Right-Cerebellum-Cortex                  subcortex            subcortex           
   11 Right-Thalamus-Proper                    subcortex            subcortex           
   12 Right-Caudate                            subcortex            subcortex           
   13 Right-Putamen                            subcortex            subcortex           
   14 Right-Pallidum                           subcortex            subcortex           
   15 Right-Hippocampus                        subcortex            subcortex           
   16 Right-Amygdala                           subcortex            subcortex           
   17 Right-Accumbens-area                     subcortex            subcortex           
   18 Right-VentralDC                          subcortex            subcortex           
   19 ctx-lh-bankssts                          DefaultMode          temporal            
   20 ctx-lh-caudalanteriorcingulate           VentralAttention     cingulate           
   21 ctx-lh-caudalmiddlefrontal               DefaultMode          frontal             
   22 ctx-lh-cuneus                            Visual               occipital           
   23 ctx-lh-entorhinal                        Limbic               temporal            
   24 ctx-lh-fusiform                          Visual               temporal            
   25 ctx-lh-inferiorparietal                  DefaultMode          parietal            
   26 ctx-lh-inferiortemporal                  Limbic               temporal            
   27 ctx-lh-isthmuscingulate                  DefaultMode          cingulate           
   28 ctx-lh-lateraloccipital                  Visual               occipital           
   29 ctx-lh-lateralorbitofrontal              Limbic               frontal             
   30 ctx-lh-lingual                           Visual               occipital           
   31 ctx-lh-medialorbitofrontal               Limbic               frontal             
   32 ctx-lh-middletemporal                    DefaultMode          temporal            
   33 ctx-lh-parahippocampal                   DefaultMode          temporal            
   34 ctx-lh-paracentral                       Somatomotor          frontal             
   35 ctx-lh-parsopercularis                   VentralAttention     frontal             
   36 ctx-lh-parsorbitalis                     DefaultMode          frontal             
   37 ctx-lh-parstriangularis                  DefaultMode          frontal             
   38 ctx-lh-pericalcarine                     Visual               occipital           
   39 ctx-lh-postcentral                       Somatomotor          parietal            
   40 ctx-lh-posteriorcingulate                VentralAttention     cingulate           
   41 ctx-lh-precentral                        Somatomotor          frontal             
   42 ctx-lh-precuneus                         DefaultMode          parietal            
   43 ctx-lh-rostralanteriorcingulate          DefaultMode          cingulate           
   44 ctx-lh-rostralmiddlefrontal              Frontoparietal       frontal             
   45 ctx-lh-superiorfrontal                   DefaultMode          frontal             
   46 ctx-lh-superiorparietal                  DorsalAttention      parietal            
   47 ctx-lh-superiortemporal                  Somatomotor          temporal            
   48 ctx-lh-supramarginal                     VentralAttention     parietal            
   49 ctx-lh-frontalpole                       Limbic               frontal             
   50 ctx-lh-temporalpole                      Limbic               temporal            
   51 ctx-lh-transversetemporal                Somatomotor          temporal            
   52 ctx-lh-insula                            VentralAttention     insula              
   53 ctx-rh-bankssts                          Somatomotor          temporal            
   54 ctx-rh-caudalanteriorcingulate           VentralAttention     cingulate           
   55 ctx-rh-caudalmiddlefrontal               Frontoparietal       frontal             
   56 ctx-rh-cuneus                            Visual               occipital           
   57 ctx-rh-entorhinal                        Limbic               temporal            
   58 ctx-rh-fusiform                          Visual               temporal            
   59 ctx-rh-inferiorparietal                  DefaultMode          parietal            
   60 ctx-rh-inferiortemporal                  Limbic               temporal            
   61 ctx-rh-isthmuscingulate                  DefaultMode          cingulate           
   62 ctx-rh-lateraloccipital                  Visual               occipital           
   63 ctx-rh-lateralorbitofrontal              Limbic               frontal             
   64 ctx-rh-lingual                           Visual               occipital           
   65 ctx-rh-medialorbitofrontal               Limbic               frontal             
   66 ctx-rh-middletemporal                    DefaultMode          temporal            
   67 ctx-rh-parahippocampal                   Visual               temporal            
   68 ctx-rh-paracentral                       Somatomotor          frontal             
   69 ctx-rh-parsopercularis                   VentralAttention     frontal             
   70 ctx-rh-parsorbitalis                     DefaultMode          frontal             
   71 ctx-rh-parstriangularis                  VentralAttention     frontal             
   72 ctx-rh-pericalcarine                     Visual               occipital           
   73 ctx-rh-postcentral                       Somatomotor          parietal            
   74 ctx-rh-posteriorcingulate                VentralAttention     cingulate           
   75 ctx-rh-precentral                        Somatomotor          frontal             
   76 ctx-rh-precuneus                         DefaultMode          parietal            
   77 ctx-rh-rostralanteriorcingulate          DefaultMode          cingulate           
   78 ctx-rh-rostralmiddlefrontal              Frontoparietal       frontal             
   79 ctx-rh-superiorfrontal                   DefaultMode          frontal             
   80 ctx-rh-superiorparietal                  DorsalAttention      parietal            
   81 ctx-rh-superiortemporal                  Somatomotor          temporal            
   82 ctx-rh-supramarginal                     VentralAttention     parietal            
   83 ctx-rh-frontalpole                       Limbic               frontal             
   84 ctx-rh-temporalpole                      Limbic               temporal            
   85 ctx-rh-transversetemporal                Somatomotor          temporal            
   86 ctx-rh-insula                            VentralAttention     insula              
